LRU序号,最后修改时间_AsiaShanghai,距审计日天数,类别,路径,大小_字节,治理状态,治理优先级,静态引用文件数,引用样例_最多3个,Last_materially_modified,建议治理动作,误删风险,说明
567,2026-07-30T16:06:54+08:00,4.63,代码,research/families/f05_fill_quality_quote_ev/audit/sell_first_fill_conditional_value.py,20169,近期变更待观察,P4,4,research/families/f05_fill_quality_quote_ev/audit/sell_first_fill_conditional_value_artifact.py | research/families/f05_fill_quality_quote_ev/docs/sell_first_fill_conditional_value_feasibility_v3_fit_20260730.json | research/families/f10_live_replay_attribution/audit/first_opener_decision_to_terminal_contract.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
568,2026-07-30T16:07:03+08:00,4.63,代码,research/families/f05_fill_quality_quote_ev/audit/sell_first_fill_conditional_value_artifact.py,13095,近期变更待观察,P4,1,research/families/f05_fill_quality_quote_ev/docs/sell_first_fill_conditional_value_feasibility_v3_fit_20260730.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
569,2026-07-30T16:07:49+08:00,4.63,测试,tests/test_sell_first_fill_conditional_value.py,4055,保留：回归/合同测试,P4,4,research/families/f05_fill_quality_quote_ev/audit/sell_first_fill_conditional_value_artifact.py | research/families/f05_fill_quality_quote_ev/docs/sell_first_fill_conditional_value_feasibility_v3_fit_20260730.json | research/families/f10_live_replay_attribution/audit/first_opener_decision_to_terminal_contract.py,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
570,2026-07-30T16:09:16+08:00,4.63,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/sell_first_fill_conditional_value_feasibility_v2_invalidation_20260730.json,1765,受保护：历史/冻结证据,P3,2,research/families/f10_live_replay_attribution/docs/first_opener_decision_to_terminal_native_producer_v3_spec_20260730.json | research/families/f10_live_replay_attribution/docs/sell_first_fill_conditional_value_feasibility_v3_spec_20260730.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
571,2026-07-30T16:09:16+08:00,4.63,文档,research/families/f10_live_replay_attribution/docs/sell_first_fill_conditional_value_feasibility_v2_invalidation_20260730.md,1422,受保护：历史/冻结证据,P3,0,,2026-07-30,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
572,2026-07-30T16:10:00+08:00,4.63,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/sell_first_fill_conditional_value_feasibility_v3_spec_20260730.json,12628,受保护：历史/冻结证据,P3,4,research/families/f05_fill_quality_quote_ev/docs/sell_first_fill_conditional_value_feasibility_v3_fit_20260730.json | research/families/f10_live_replay_attribution/docs/first_opener_decision_to_terminal_native_producer_v3_spec_20260730.json | tests/test_first_opener_decision_to_terminal_contract.py,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
573,2026-07-30T16:10:28+08:00,4.63,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/first_opener_replay_bar_payload_manifest_v3_20260730.json,27287,受保护：历史/冻结证据,P3,1,research/families/f10_live_replay_attribution/docs/first_opener_decision_to_terminal_native_producer_v3_spec_20260730.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
574,2026-07-30T16:12:30+08:00,4.63,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/first_opener_decision_to_terminal_native_producer_v3_spec_20260730.json,7069,受保护：历史/冻结证据,P3,2,research/families/f10_live_replay_attribution/audit/first_opener_decision_to_terminal_runner.py | tests/test_first_opener_decision_to_terminal_runner.py,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
575,2026-07-30T17:35:19+08:00,4.57,冻结规范/登记表,research/families/f05_fill_quality_quote_ev/docs/sell_first_fill_conditional_value_feasibility_v3_fit_20260730.json,3233,受保护：历史/冻结证据,P3,0,,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
576,2026-07-30T17:38:52+08:00,4.57,文档,research/families/f05_fill_quality_quote_ev/docs/sell_first_fill_conditional_value_feasibility_v3_development_20260730.md,4317,受保护：历史/冻结证据,P3,1,research/registry.json,2026-07-30,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
577,2026-07-30T22:29:10+08:00,4.37,代码,data/download_cryptohft_orderbook.py,122478,近期变更待观察,P4,12,data/build_active_order_queue_tape.py | data/normalize_tardis_orderbook.py | data/normalized_l2_registry.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
578,2026-07-30T22:33:22+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/direct_fill_cif.py,63363,近期变更待观察,P4,11,research/families/f06_placement_fill_cif/audit/competing_curve_fill_cif.py | research/families/f06_placement_fill_cif/audit/evaluate_direct_fill_cif.py | research/families/f06_placement_fill_cif/audit/evaluate_request_state_race.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
579,2026-07-30T22:33:23+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/evaluate_empirical_pending_nuisance.py,47411,近期变更待观察,P4,3,research/families/f06_placement_fill_cif/audit/ordered_common_support_fill_surface.py | research/governance/migrations/layout_v2.json | tests/test_empirical_pending_nuisance.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
580,2026-07-30T22:33:23+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/evaluate_full_curve_fill_cif.py,9585,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_evaluate_full_curve_fill_cif.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
581,2026-07-30T22:33:23+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/full_curve_fill_cif.py,45405,近期变更待观察,P4,19,research/families/f06_placement_fill_cif/audit/competing_curve_fill_cif.py | research/families/f06_placement_fill_cif/audit/evaluate_competing_curve_cif.py | research/families/f06_placement_fill_cif/audit/evaluate_empirical_pending_nuisance.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
582,2026-07-30T22:33:23+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/ordered_common_support_fill_surface.py,37982,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_ordered_common_support_fill_surface.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
583,2026-07-30T22:33:24+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/placement_marginal_fill_value_feasibility.py,54705,近期变更待观察,P4,2,research/families/f06_placement_fill_cif/docs/placement_marginal_fill_value_feasibility_v1_spec_20260729.json | tests/test_placement_marginal_fill_value_feasibility.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
584,2026-07-30T22:33:48+08:00,4.36,代码,scripts/bounded_receive_time_capture.py,43573,近期变更待观察,P4,3,research/system_engineering/docs/bounded_receive_time_capture_operations_20260724.md | scripts/run_bounded_receive_time_capture.sh | tests/test_bounded_receive_time_capture.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
585,2026-07-30T22:33:48+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/ordered_common_support_contract_audit.py,11974,近期变更待观察,P4,1,research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
586,2026-07-30T22:37:53+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/evaluate_nested_role_competing_curve_cif.py,4985,近期变更待观察,P4,1,research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
587,2026-07-30T22:37:53+08:00,4.36,代码,research/families/f05_fill_quality_quote_ev/audit/null_baseline_panel.py,15280,近期变更待观察,P4,3,docs/audit_entrypoints_20260630.md | research/governance/migrations/layout_v2.json | tests/test_null_baseline_panel.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
588,2026-07-30T22:37:53+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/evaluate_role_calibrated_competing_curve_cif.py,5014,近期变更待观察,P4,1,research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
589,2026-07-30T22:37:53+08:00,4.36,代码,research/families/f05_fill_quality_quote_ev/audit/order_level_panel.py,16366,近期变更待观察,P4,3,docs/audit_entrypoints_20260630.md | research/governance/migrations/layout_v2.json | tests/test_order_level_panel_manifest.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
590,2026-07-30T22:37:53+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/evaluate_competing_curve_cif.py,11646,近期变更待观察,P4,6,research/families/f06_placement_fill_cif/audit/evaluate_nested_role_competing_curve_cif.py | research/families/f06_placement_fill_cif/audit/evaluate_role_calibrated_competing_curve_cif.py | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
591,2026-07-30T22:37:53+08:00,4.36,代码,research/families/f06_placement_fill_cif/audit/evaluate_request_state_race.py,36253,近期变更待观察,P4,4,research/families/f06_placement_fill_cif/audit/evaluate_empirical_pending_nuisance.py | research/families/f06_placement_fill_cif/audit/ordered_common_support_fill_surface.py | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
592,2026-07-30T22:37:53+08:00,4.36,代码,data/build_active_order_queue_tape.py,49113,近期变更待观察,P4,9,models/audit/native_exchange_book_sequence_audit_v2.py | models/exchange_book_replay.py | models/native_exchange_book_cache.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
593,2026-07-31T00:01:37+08:00,4.3,测试,tests/test_audit_tardis_archive.py,2758,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
594,2026-07-31T00:01:44+08:00,4.3,代码,data/audit_tardis_archive.py,11634,近期变更待观察,P4,2,pipeline.py | tests/test_audit_tardis_archive.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
595,2026-07-31T00:52:30+08:00,4.27,代码,research/families/f06_placement_fill_cif/audit/placement_fill_panel.py,48092,近期变更待观察,P4,2,research/families/f06_placement_fill_cif/docs/placement_fill_request_state_race_v2_spec_20260728.json | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
596,2026-07-31T00:52:31+08:00,4.27,代码,research/families/f06_placement_fill_cif/audit/request_state_panel.py,29324,近期变更待观察,P4,4,research/families/f06_placement_fill_cif/audit/placement_fill_panel.py | research/families/f06_placement_fill_cif/docs/placement_fill_request_state_race_v2_spec_20260728.json | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
597,2026-07-31T00:52:31+08:00,4.27,代码,research/families/f06_placement_fill_cif/audit/paired_action_resolution_feasibility.py,52354,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_paired_action_resolution_feasibility.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
598,2026-07-31T00:52:41+08:00,4.27,代码,models/backtest_ml.py,109447,近期变更待观察,P4,6,.github/skills/mm-as-glft-ml-spread/SKILL.md | models/README.md | models/backtest_tick.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
599,2026-07-31T00:55:58+08:00,4.26,文档,docs/audit_entrypoints_20260630.md,38734,近期变更待观察,P4,2,README.md | README.zh-CN.md,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
600,2026-07-31T00:57:26+08:00,4.26,代码,narrowgate/cli.py,5209,近期变更待观察,P4,2,docs/dev/ci.md | pyproject.toml,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
601,2026-07-31T00:59:58+08:00,4.26,代码,research/families/f01_fixed_parameter_racing/parameter_racing_sweep.py,43425,近期变更待观察,P4,8,README.md | README.zh-CN.md | docs/codebase_architecture_20260705.md,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
602,2026-07-31T01:01:09+08:00,4.26,测试,tests/test_normalize_tardis_orderbook.py,6674,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
603,2026-07-31T01:09:10+08:00,4.25,测试,tests/test_aggregate_tardis_normalized_quality.py,5220,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
604,2026-07-31T01:11:17+08:00,4.25,代码,data/aggregate_tardis_normalized_quality.py,20847,近期变更待观察,P4,1,tests/test_aggregate_tardis_normalized_quality.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
605,2026-07-31T01:14:30+08:00,4.25,测试,tests/test_data_windows_formal_l2.py,3580,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
606,2026-07-31T01:52:18+08:00,4.22,测试,tests/test_audit_non_cryptohft_range.py,4457,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
607,2026-07-31T01:54:31+08:00,4.22,代码,data/audit_non_cryptohft_range.py,17723,近期变更待观察,P4,1,tests/test_audit_non_cryptohft_range.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
608,2026-07-31T04:28:57+08:00,4.12,测试,tests/test_audit_tardis_normalized_batch.py,8011,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
609,2026-07-31T04:54:36+08:00,4.1,代码,data/download_tardis_archive.py,17055,近期变更待观察,P4,5,data/audit_tardis_normalized_batch.py | data/audit_tardis_normalized_coverage.py | data/normalize_tardis_orderbook.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
610,2026-07-31T04:54:36+08:00,4.1,代码,data/audit_tardis_normalized_batch.py,21269,近期变更待观察,P4,2,docs/tardis_normalized_l2_contract_errata_20260731.md | tests/test_audit_tardis_normalized_batch.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
611,2026-07-31T04:54:37+08:00,4.1,测试,tests/test_download_tardis_archive.py,2903,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
612,2026-07-31T05:03:19+08:00,4.09,文档,docs/tardis_bad_day_repair_20260730.md,4058,近期变更待观察,P4,2,docs/market_data.md | docs/marketdata_storage_relocation_20260730.md,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
613,2026-07-31T05:03:19+08:00,4.09,文档,docs/tardis_normalized_l2_contract_20260731.md,7234,近期变更待观察,P4,1,data/README.md,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
614,2026-07-31T05:03:20+08:00,4.09,文档,docs/marketdata_backfill_20250801_20251231.md,5650,近期变更待观察,P4,1,docs/market_data.md,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
615,2026-07-31T05:03:46+08:00,4.09,文档,docs/tardis_normalized_l2_contract_errata_20260731.md,3696,近期变更待观察,P4,0,,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,中,近期修改不等于语义审计或 action 权限已经完成
616,2026-07-31T05:03:46+08:00,4.09,代码,docs/marketdata_storage_relocation_20260730.json,3688,近期变更待观察,P4,1,docs/marketdata_storage_relocation_20260730.md,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
617,2026-07-31T05:05:38+08:00,4.09,代码,data/normalize_tardis_orderbook.py,49819,近期变更待观察,P4,4,data/audit_tardis_normalized_batch.py | pipeline.py | tests/test_audit_tardis_normalized_batch.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
618,2026-07-31T05:35:16+08:00,4.07,文档,docs/current_marketdata_quality_rating_20260731.md,5521,近期变更待观察,P4,0,,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,中,近期修改不等于语义审计或 action 权限已经完成
619,2026-07-31T06:22:19+08:00,4.04,冻结规范/登记表,research/families/f09_campaign_action_uplift/docs/post_cooldown_incremental_inventory_budget_feasibility_v1_1_spec_20260731.json,10450,受保护：历史/冻结证据,P3,1,research/families/f09_campaign_action_uplift/docs/post_cooldown_incremental_inventory_budget_feasibility_v1_2_execution_errata_20260731.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
620,2026-07-31T06:25:04+08:00,4.04,代码,research/families/f09_campaign_action_uplift/audit/post_cooldown_incremental_inventory_budget.py,7562,近期变更待观察,P4,5,models/backtest_tick.py | research/families/f09_campaign_action_uplift/audit/post_cooldown_incremental_inventory_budget_feasibility.py | research/families/f09_campaign_action_uplift/docs/post_cooldown_incremental_inventory_budget_feasibility_v1_1_spec_20260731.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
621,2026-07-31T06:25:04+08:00,4.04,测试,tests/test_post_cooldown_incremental_inventory_budget.py,9595,保留：回归/合同测试,P4,8,research/families/f09_campaign_action_uplift/docs/multi_short_reducing_buy_aggression_v1_1_spec_20260801.json | research/families/f09_campaign_action_uplift/docs/multi_short_reducing_buy_aggression_v1_spec_20260801.json | research/families/f09_campaign_action_uplift/docs/post_cooldown_incremental_inventory_budget_feasibility_v1_1_spec_20260731.json,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
622,2026-07-31T06:51:34+08:00,4.02,冻结规范/登记表,research/families/f09_campaign_action_uplift/docs/post_cooldown_incremental_inventory_budget_feasibility_v1_2_execution_errata_20260731.json,4184,受保护：历史/冻结证据,P3,1,research/registry.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
623,2026-07-31T07:02:57+08:00,4.01,测试,tests/test_buy_q90_portfolio_path_attribution.py,8557,保留：回归/合同测试,P4,2,research/families/f10_live_replay_attribution/audit/buy_q90_portfolio_path_attribution.py | research/families/f10_live_replay_attribution/docs/buy_q90_portfolio_path_attribution_v1_spec_20260731.json,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
624,2026-07-31T07:03:06+08:00,4.01,代码,research/families/f10_live_replay_attribution/audit/buy_q90_portfolio_path_attribution.py,50376,近期变更待观察,P4,1,research/families/f10_live_replay_attribution/docs/buy_q90_portfolio_path_attribution_v1_spec_20260731.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
625,2026-07-31T07:04:05+08:00,4.01,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/buy_q90_portfolio_path_attribution_v1_spec_20260731.json,12535,受保护：历史/冻结证据,P3,12,research/families/f10_live_replay_attribution/audit/buy_q90_portfolio_path_attribution.py | research/families/f10_live_replay_attribution/docs/buy_q90_abi_v4_40day_lockstep_v1_1_spec_20260803.json | research/families/f10_live_replay_attribution/docs/buy_q90_abi_v4_40day_lockstep_v1_2_spec_20260803.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
626,2026-07-31T11:14:00+08:00,3.83,文档,research/families/f10_live_replay_attribution/docs/buy_q90_portfolio_path_attribution_v1_development_20260731.md,6124,受保护：历史/冻结证据,P3,1,research/registry.json,2026-07-31,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
627,2026-07-31T11:38:56+08:00,3.82,代码,research/families/f03_causal_13_head/taker_tempo_features.py,27231,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_taker_tempo_features.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
628,2026-07-31T11:44:07+08:00,3.81,代码,features/preprocess_metrics.py,6427,近期变更待观察,P4,5,.github/skills/mm-as-glft-ml-spread/SKILL.md | docs/marketdata_good_day_alignment_20260720.md | pipeline.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
629,2026-07-31T11:45:32+08:00,3.81,测试,tests/test_research_day_universe.py,5817,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
630,2026-07-31T11:51:49+08:00,3.81,代码,data/build_research_day_universe.py,24186,近期变更待观察,P4,2,pipeline.py | tests/test_research_day_universe.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
631,2026-07-31T11:59:48+08:00,3.8,代码,models/book_source_contract.py,5926,近期变更待观察,P4,8,models/backtest_tick.py | models/data_windows.py | research/families/f09_campaign_action_uplift/docs/cross_venue_fair_center_shift_randomized_replay_v1_1_spec_20260801.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
632,2026-07-31T12:20:11+08:00,3.79,代码,pipeline.py,8700,近期变更待观察,P4,8,Makefile | README.md | README.zh-CN.md,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
633,2026-07-31T12:27:26+08:00,3.78,代码,models/source_aware_cpp_baseline.py,15514,近期变更待观察,P4,2,pipeline.py | tests/test_source_aware_cpp_baseline.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
634,2026-07-31T12:27:38+08:00,3.78,测试,tests/test_source_aware_cpp_baseline.py,2514,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
635,2026-07-31T12:36:23+08:00,3.78,文档,docs/market_data.md,35595,近期变更待观察,P4,3,README.md | README.zh-CN.md | docs/path_conventions.md,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
636,2026-07-31T12:48:02+08:00,3.77,文档,docs/marketdata_storage_relocation_20260730.md,5930,近期变更待观察,P4,3,README.md | README.zh-CN.md | docs/market_data.md,2026-07-31,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
637,2026-07-31T13:00:42+08:00,3.76,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_spec_20260731.json,8886,受保护：历史/冻结证据,P3,2,research/families/f10_live_replay_attribution/audit/buy_q90_live_action_rate_transport_parity.py | research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_execution_20260731.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
638,2026-07-31T13:06:13+08:00,3.76,测试,tests/test_buy_q90_live_action_rate_transport_parity.py,8122,保留：回归/合同测试,P4,2,research/families/f10_live_replay_attribution/audit/buy_q90_live_action_rate_transport_parity.py | research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_execution_20260731.json,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
639,2026-07-31T13:13:39+08:00,3.75,代码,research/families/f10_live_replay_attribution/audit/buy_q90_live_action_rate_transport_parity.py,46155,近期变更待观察,P4,1,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_execution_20260731.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
640,2026-07-31T13:14:30+08:00,3.75,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_execution_20260731.json,3072,受保护：历史/冻结证据,P3,0,,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
641,2026-07-31T13:20:35+08:00,3.75,测试,tests/test_buy_q90_same_date_mechanics.py,1550,保留：回归/合同测试,P4,1,research/families/f10_live_replay_attribution/docs/buy_q90_dual_clock_terminal_routing_contract_v2_implementation_20260802.json,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
642,2026-07-31T13:26:12+08:00,3.74,代码,research/families/f10_live_replay_attribution/audit/buy_q90_same_date_mechanics.py,10589,近期变更待观察,P4,2,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_same_date_mechanics_spec_20260731.json | research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_validity_diagnostic_spec_20260731.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
643,2026-07-31T13:26:38+08:00,3.74,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_same_date_mechanics_spec_20260731.json,4310,受保护：历史/冻结证据,P3,2,research/families/f10_live_replay_attribution/audit/buy_q90_same_date_mechanics.py | research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_validity_diagnostic_spec_20260731.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
644,2026-07-31T13:41:04+08:00,3.73,代码,research/families/f10_live_replay_attribution/audit/buy_q90_same_date_validity_diagnostic.py,7661,近期变更待观察,P4,1,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_validity_diagnostic_spec_20260731.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
645,2026-07-31T13:42:09+08:00,3.73,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/buy_q90_live_action_rate_transport_parity_v1_validity_diagnostic_spec_20260731.json,2894,受保护：历史/冻结证据,P3,1,research/families/f10_live_replay_attribution/audit/buy_q90_same_date_validity_diagnostic.py,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
